Date,Home team,Score,Away team
19-08-2023,Augsburg,4 - 4,M''gladbach
27-08-2023,Bayern Munich,3 - 1,Augsburg
02-09-2023,Augsburg,2 - 2,Bochum
16-09-2023,RB Leipzig,3 - 0,Augsburg
23-09-2023,Augsburg,2 - 1,Mainz
01-10-2023,Freiburg,2 - 0,Augsburg
07-10-2023,Augsburg,1 - 2,Darmstadt
22-10-2023,Heidenheim,2 - 5,Augsburg
28-10-2023,Augsburg,3 - 2,Wolfsburg
04-11-2023,FC Koln,1 - 1,Augsburg
11-11-2023,Augsburg,1 - 1,Hoffenheim
25-11-2023,Union Berlin,1 - 1,Augsburg
03-12-2023,Augsburg,2 - 1,Ein Frankfurt
09-12-2023,Werder Bremen,2 - 0,Augsburg
16-12-2023,Augsburg,1 - 1,Dortmund
20-12-2023,Stuttgart,3 - 0,Augsburg
13-01-2024,Augsburg,0 - 1,Leverkusen
21-01-2024,M''gladbach,1 - 2,Augsburg
27-01-2024,Augsburg,2 - 3,Bayern Munich
03-02-2024,Bochum,1 - 1,Augsburg
10-02-2024,Augsburg,2 - 2,RB Leipzig
17-02-2024,Mainz,? - ?,Augsburg
18-08-2023,Werder Bremen,0 - 4,Bayern Munich
27-08-2023,Bayern Munich,3 - 1,Augsburg
02-09-2023,M''gladbach,1 - 2,Bayern Munich
15-09-2023,Bayern Munich,2 - 2,Leverkusen
23-09-2023,Bayern Munich,7 - 0,Bochum
30-09-2023,RB Leipzig,2 - 2,Bayern Munich
08-10-2023,Bayern Munich,3 - 0,Freiburg
21-10-2023,Mainz,1 - 3,Bayern Munich
28-10-2023,Bayern Munich,8 - 0,Darmstadt
04-11-2023,Dortmund,0 - 4,Bayern Munich
11-11-2023,Bayern Munich,4 - 2,Heidenheim
24-11-2023,FC Koln,0 - 1,Bayern Munich
09-12-2023,Ein Frankfurt,5 - 1,Bayern Munich
17-12-2023,Bayern Munich,3 - 0,Stuttgart
20-12-2023,Wolfsburg,1 - 2,Bayern Munich
12-01-2024,Bayern Munich,3 - 0,Hoffenheim
21-01-2024,Bayern Munich,0 - 1,Werder Bremen
24-01-2024,Bayern Munich,1 - 0,Union Berlin
27-01-2024,Augsburg,2 - 3,Bayern Munich
03-02-2024,Bayern Munich,3 - 1,M''gladbach
10-02-2024,Leverkusen,3 - 0,Bayern Munich
19-08-2023,Stuttgart,5 - 0,Bochum
26-08-2023,Bochum,1 - 1,Dortmund
02-09-2023,Augsburg,2 - 2,Bochum
16-09-2023,Bochum,1 - 1,Ein Frankfurt
23-09-2023,Bayern Munich,7 - 0,Bochum
30-09-2023,Bochum,1 - 3,M''gladbach
07-10-2023,RB Leipzig,0 - 0,Bochum
21-10-2023,Freiburg,2 - 1,Bochum
27-10-2023,Bochum,2 - 2,Mainz
03-11-2023,Darmstadt,1 - 2,Bochum
11-11-2023,Bochum,1 - 1,FC Koln
26-11-2023,Heidenheim,0 - 0,Bochum
02-12-2023,Bochum,3 - 1,Wolfsburg
08-12-2023,Hoffenheim,3 - 1,Bochum
16-12-2023,Bochum,3 - 0,Union Berlin
20-12-2023,Leverkusen,4 - 0,Bochum
14-01-2024,Bochum,1 - 1,Werder Bremen
20-01-2024,Bochum,1 - 0,Stuttgart
28-01-2024,Dortmund,3 - 1,Bochum
03-02-2024,Bochum,1 - 1,Augsburg
10-02-2024,Ein Frankfurt,1 - 1,Bochum
20-08-2023,Ein Frankfurt,1 - 0,Darmstadt
26-08-2023,Darmstadt,1 - 4,Union Berlin
02-09-2023,Leverkusen,5 - 1,Darmstadt
17-09-2023,Darmstadt,3 - 3,M''gladbach
22-09-2023,Stuttgart,3 - 1,Darmstadt
01-10-2023,Darmstadt,4 - 2,Werder Bremen
07-10-2023,Augsburg,1 - 2,Darmstadt
21-10-2023,Darmstadt,1 - 3,RB Leipzig
28-10-2023,Bayern Munich,8 - 0,Darmstadt
03-11-2023,Darmstadt,1 - 2,Bochum
11-11-2023,Darmstadt,0 - 0,Mainz
25-11-2023,Freiburg,1 - 1,Darmstadt
01-12-2023,Darmstadt,0 - 1,FC Koln
09-12-2023,Heidenheim,3 - 2,Darmstadt
16-12-2023,Darmstadt,0 - 1,Wolfsburg
19-12-2023,Hoffenheim,3 - 3,Darmstadt
13-01-2024,Darmstadt,0 - 3,Dortmund
20-01-2024,Darmstadt,2 - 2,Ein Frankfurt
28-01-2024,Union Berlin,1 - 0,Darmstadt
03-02-2024,Darmstadt,0 - 2,Leverkusen
10-02-2024,M''gladbach,0 - 0,Darmstadt
17-02-2024,Darmstadt,? - ?,Stuttgart
19-08-2023,Dortmund,1 - 0,FC Koln
26-08-2023,Bochum,1 - 1,Dortmund
01-09-2023,Dortmund,2 - 2,Heidenheim
16-09-2023,Freiburg,2 - 4,Dortmund
23-09-2023,Dortmund,1 - 0,Wolfsburg
29-09-2023,Hoffenheim,1 - 3,Dortmund
07-10-2023,Dortmund,4 - 2,Union Berlin
20-10-2023,Dortmund,1 - 0,Werder Bremen
29-10-2023,Ein Frankfurt,3 - 3,Dortmund
04-11-2023,Dortmund,0 - 4,Bayern Munich
11-11-2023,Stuttgart,2 - 1,Dortmund
25-11-2023,Dortmund,4 - 2,M''gladbach
03-12-2023,Leverkusen,1 - 1,Dortmund
09-12-2023,Dortmund,2 - 3,RB Leipzig
16-12-2023,Augsburg,1 - 1,Dortmund
19-12-2023,Dortmund,1 - 1,Mainz
13-01-2024,Darmstadt,0 - 3,Dortmund
20-01-2024,FC Koln,0 - 4,Dortmund
28-01-2024,Dortmund,3 - 1,Bochum
02-02-2024,Heidenheim,0 - 0,Dortmund
09-02-2024,Dortmund,3 - 0,Freiburg
17-02-2024,Wolfsburg,? - ?,Dortmund
20-08-2023,Ein Frankfurt,1 - 0,Darmstadt
27-08-2023,Mainz,1 - 1,Ein Frankfurt
03-09-2023,Ein Frankfurt,1 - 1,FC Koln
16-09-2023,Bochum,1 - 1,Ein Frankfurt
24-09-2023,Ein Frankfurt,0 - 0,Freiburg
30-09-2023,Wolfsburg,2 - 0,Ein Frankfurt
08-10-2023,Ein Frankfurt,2 - 0,Heidenheim
21-10-2023,Hoffenheim,1 - 3,Ein Frankfurt
29-10-2023,Ein Frankfurt,3 - 3,Dortmund
04-11-2023,Union Berlin,0 - 3,Ein Frankfurt
12-11-2023,Werder Bremen,2 - 2,Ein Frankfurt
25-11-2023,Ein Frankfurt,1 - 2,Stuttgart
03-12-2023,Augsburg,2 - 1,Ein Frankfurt
09-12-2023,Ein Frankfurt,5 - 1,Bayern Munich
17-12-2023,Leverkusen,3 - 0,Ein Frankfurt
20-12-2023,Ein Frankfurt,2 - 1,M''gladbach
13-01-2024,RB Leipzig,0 - 1,Ein Frankfurt
20-01-2024,Darmstadt,2 - 2,Ein Frankfurt
26-01-2024,Ein Frankfurt,1 - 0,Mainz
03-02-2024,FC Koln,2 - 0,Ein Frankfurt
10-02-2024,Ein Frankfurt,1 - 1,Bochum
19-08-2023,Dortmund,1 - 0,FC Koln
26-08-2023,FC Koln,1 - 2,Wolfsburg
03-09-2023,Ein Frankfurt,1 - 1,FC Koln
16-09-2023,FC Koln,1 - 3,Hoffenheim
23-09-2023,Werder Bremen,2 - 1,FC Koln
30-09-2023,FC Koln,0 - 2,Stuttgart
08-10-2023,Leverkusen,3 - 0,FC Koln
22-10-2023,FC Koln,3 - 1,M''gladbach
28-10-2023,RB Leipzig,6 - 0,FC Koln
04-11-2023,FC Koln,1 - 1,Augsburg
11-11-2023,Bochum,1 - 1,FC Koln
24-11-2023,FC Koln,0 - 1,Bayern Munich
01-12-2023,Darmstadt,0 - 1,FC Koln
10-12-2023,FC Koln,0 - 0,Mainz
17-12-2023,Freiburg,2 - 0,FC Koln
20-12-2023,Union Berlin,2 - 0,FC Koln
13-01-2024,FC Koln,1 - 1,Heidenheim
20-01-2024,FC Koln,0 - 4,Dortmund
27-01-2024,Wolfsburg,1 - 1,FC Koln
03-02-2024,FC Koln,2 - 0,Ein Frankfurt
11-02-2024,Hoffenheim,1 - 1,FC Koln
16-02-2024,FC Koln,? - ?,Werder Bremen
19-08-2023,Hoffenheim,1 - 2,Freiburg
26-08-2023,Freiburg,1 - 0,Werder Bremen
02-09-2023,Stuttgart,5 - 0,Freiburg
16-09-2023,Freiburg,2 - 4,Dortmund
24-09-2023,Ein Frankfurt,0 - 0,Freiburg
01-10-2023,Freiburg,2 - 0,Augsburg
08-10-2023,Bayern Munich,3 - 0,Freiburg
21-10-2023,Freiburg,2 - 1,Bochum
29-10-2023,Leverkusen,2 - 1,Freiburg
04-11-2023,Freiburg,3 - 3,M''gladbach
12-11-2023,RB Leipzig,3 - 1,Freiburg
25-11-2023,Freiburg,1 - 1,Darmstadt
03-12-2023,Mainz,0 - 1,Freiburg
09-12-2023,Wolfsburg,0 - 1,Freiburg
17-12-2023,Freiburg,2 - 0,FC Koln
20-12-2023,Heidenheim,3 - 2,Freiburg
13-01-2024,Freiburg,0 - 0,Union Berlin
20-01-2024,Freiburg,3 - 2,Hoffenheim
27-01-2024,Werder Bremen,3 - 1,Freiburg
03-02-2024,Freiburg,1 - 3,Stuttgart
09-02-2024,Dortmund,3 - 0,Freiburg
19-08-2023,Wolfsburg,2 - 0,Heidenheim
26-08-2023,Heidenheim,2 - 3,Hoffenheim
01-09-2023,Dortmund,2 - 2,Heidenheim
17-09-2023,Heidenheim,4 - 2,Werder Bremen
24-09-2023,Leverkusen,4 - 1,Heidenheim
30-09-2023,Heidenheim,1 - 0,Union Berlin
08-10-2023,Ein Frankfurt,2 - 0,Heidenheim
22-10-2023,Heidenheim,2 - 5,Augsburg
28-10-2023,M''gladbach,2 - 1,Heidenheim
05-11-2023,Heidenheim,2 - 0,Stuttgart
11-11-2023,Bayern Munich,4 - 2,Heidenheim
26-11-2023,Heidenheim,0 - 0,Bochum
02-12-2023,RB Leipzig,2 - 1,Heidenheim
09-12-2023,Heidenheim,3 - 2,Darmstadt
16-12-2023,Mainz,0 - 1,Heidenheim
20-12-2023,Heidenheim,3 - 2,Freiburg
13-01-2024,FC Koln,1 - 1,Heidenheim
20-01-2024,Heidenheim,1 - 1,Wolfsburg
27-01-2024,Hoffenheim,1 - 1,Heidenheim
02-02-2024,Heidenheim,0 - 0,Dortmund
10-02-2024,Werder Bremen,1 - 2,Heidenheim
17-02-2024,Heidenheim,? - ?,Leverkusen
19-08-2023,Hoffenheim,1 - 2,Freiburg
26-08-2023,Heidenheim,2 - 3,Hoffenheim
02-09-2023,Hoffenheim,3 - 1,Wolfsburg
16-09-2023,FC Koln,1 - 3,Hoffenheim
23-09-2023,Union Berlin,0 - 2,Hoffenheim
29-09-2023,Hoffenheim,1 - 3,Dortmund
07-10-2023,Werder Bremen,2 - 3,Hoffenheim
21-10-2023,Hoffenheim,1 - 3,Ein Frankfurt
28-10-2023,Stuttgart,2 - 3,Hoffenheim
04-11-2023,Hoffenheim,2 - 3,Leverkusen
11-11-2023,Augsburg,1 - 1,Hoffenheim
26-11-2023,Hoffenheim,1 - 1,Mainz
02-12-2023,M''gladbach,2 - 1,Hoffenheim
08-12-2023,Hoffenheim,3 - 1,Bochum
16-12-2023,RB Leipzig,3 - 1,Hoffenheim
19-12-2023,Hoffenheim,3 - 3,Darmstadt
12-01-2024,Bayern Munich,3 - 0,Hoffenheim
20-01-2024,Freiburg,3 - 2,Hoffenheim
27-01-2024,Hoffenheim,1 - 1,Heidenheim
04-02-2024,Wolfsburg,2 - 2,Hoffenheim
11-02-2024,Hoffenheim,1 - 1,FC Koln
17-02-2024,Hoffenheim,? - ?,Union Berlin
19-08-2023,Leverkusen,3 - 2,RB Leipzig
26-08-2023,M''gladbach,0 - 3,Leverkusen
02-09-2023,Leverkusen,5 - 1,Darmstadt
15-09-2023,Bayern Munich,2 - 2,Leverkusen
24-09-2023,Leverkusen,4 - 1,Heidenheim
30-09-2023,Mainz,0 - 3,Leverkusen
08-10-2023,Leverkusen,3 - 0,FC Koln
21-10-2023,Wolfsburg,1 - 2,Leverkusen
29-10-2023,Leverkusen,2 - 1,Freiburg
04-11-2023,Hoffenheim,2 - 3,Leverkusen
12-11-2023,Leverkusen,4 - 0,Union Berlin
25-11-2023,Werder Bremen,0 - 3,Leverkusen
03-12-2023,Leverkusen,1 - 1,Dortmund
10-12-2023,Stuttgart,1 - 1,Leverkusen
17-12-2023,Leverkusen,3 - 0,Ein Frankfurt
20-12-2023,Leverkusen,4 - 0,Bochum
13-01-2024,Augsburg,0 - 1,Leverkusen
20-01-2024,RB Leipzig,2 - 3,Leverkusen
27-01-2024,Leverkusen,0 - 0,M''gladbach
03-02-2024,Darmstadt,0 - 2,Leverkusen
10-02-2024,Leverkusen,3 - 0,Bayern Munich
17-02-2024,Heidenheim,? - ?,Leverkusen
19-08-2023,Augsburg,4 - 4,M''gladbach
26-08-2023,M''gladbach,0 - 3,Leverkusen
02-09-2023,M''gladbach,1 - 2,Bayern Munich
17-09-2023,Darmstadt,3 - 3,M''gladbach
23-09-2023,M''gladbach,0 - 1,RB Leipzig
30-09-2023,Bochum,1 - 3,M''gladbach
06-10-2023,M''gladbach,2 - 2,Mainz
22-10-2023,FC Koln,3 - 1,M''gladbach
28-10-2023,M''gladbach,2 - 1,Heidenheim
04-11-2023,Freiburg,3 - 3,M''gladbach
10-11-2023,M''gladbach,4 - 0,Wolfsburg
25-11-2023,Dortmund,4 - 2,M''gladbach
02-12-2023,M''gladbach,2 - 1,Hoffenheim
09-12-2023,Union Berlin,3 - 1,M''gladbach
15-12-2023,M''gladbach,2 - 2,Werder Bremen
20-12-2023,Ein Frankfurt,2 - 1,M''gladbach
14-01-2024,M''gladbach,3 - 1,Stuttgart
21-01-2024,M''gladbach,1 - 2,Augsburg
27-01-2024,Leverkusen,0 - 0,M''gladbach
03-02-2024,Bayern Munich,3 - 1,M''gladbach
10-02-2024,M''gladbach,0 - 0,Darmstadt
17-02-2024,RB Leipzig,? - ?,M''gladbach
20-08-2023,Union Berlin,4 - 1,Mainz
27-08-2023,Mainz,1 - 1,Ein Frankfurt
02-09-2023,Werder Bremen,4 - 0,Mainz
16-09-2023,Mainz,1 - 3,Stuttgart
23-09-2023,Augsburg,2 - 1,Mainz
30-09-2023,Mainz,0 - 3,Leverkusen
06-10-2023,M''gladbach,2 - 2,Mainz
21-10-2023,Mainz,1 - 3,Bayern Munich
27-10-2023,Bochum,2 - 2,Mainz
04-11-2023,Mainz,2 - 0,RB Leipzig
11-11-2023,Darmstadt,0 - 0,Mainz
26-11-2023,Hoffenheim,1 - 1,Mainz
03-12-2023,Mainz,0 - 1,Freiburg
10-12-2023,FC Koln,0 - 0,Mainz
16-12-2023,Mainz,0 - 1,Heidenheim
19-12-2023,Dortmund,1 - 1,Mainz
13-01-2024,Mainz,1 - 1,Wolfsburg
26-01-2024,Ein Frankfurt,1 - 0,Mainz
03-02-2024,Mainz,0 - 1,Werder Bremen
07-02-2024,Mainz,1 - 1,Union Berlin
11-02-2024,Stuttgart,3 - 1,Mainz
17-02-2024,Mainz,? - ?,Augsburg
19-08-2023,Leverkusen,3 - 2,RB Leipzig
25-08-2023,RB Leipzig,5 - 1,Stuttgart
03-09-2023,Union Berlin,0 - 3,RB Leipzig
16-09-2023,RB Leipzig,3 - 0,Augsburg
23-09-2023,M''gladbach,0 - 1,RB Leipzig
30-09-2023,RB Leipzig,2 - 2,Bayern Munich
07-10-2023,RB Leipzig,0 - 0,Bochum
21-10-2023,Darmstadt,1 - 3,RB Leipzig
28-10-2023,RB Leipzig,6 - 0,FC Koln
04-11-2023,Mainz,2 - 0,RB Leipzig
12-11-2023,RB Leipzig,3 - 1,Freiburg
25-11-2023,Wolfsburg,2 - 1,RB Leipzig
02-12-2023,RB Leipzig,2 - 1,Heidenheim
09-12-2023,Dortmund,2 - 3,RB Leipzig
16-12-2023,RB Leipzig,3 - 1,Hoffenheim
19-12-2023,Werder Bremen,1 - 1,RB Leipzig
13-01-2024,RB Leipzig,0 - 1,Ein Frankfurt
20-01-2024,RB Leipzig,2 - 3,Leverkusen
27-01-2024,Stuttgart,5 - 2,RB Leipzig
04-02-2024,RB Leipzig,2 - 0,Union Berlin
10-02-2024,Augsburg,2 - 2,RB Leipzig
17-02-2024,RB Leipzig,? - ?,M''gladbach
19-08-2023,Stuttgart,5 - 0,Bochum
25-08-2023,RB Leipzig,5 - 1,Stuttgart
02-09-2023,Stuttgart,5 - 0,Freiburg
16-09-2023,Mainz,1 - 3,Stuttgart
22-09-2023,Stuttgart,3 - 1,Darmstadt
30-09-2023,FC Koln,0 - 2,Stuttgart
07-10-2023,Stuttgart,3 - 1,Wolfsburg
21-10-2023,Union Berlin,0 - 3,Stuttgart
28-10-2023,Stuttgart,2 - 3,Hoffenheim
05-11-2023,Heidenheim,2 - 0,Stuttgart
11-11-2023,Stuttgart,2 - 1,Dortmund
25-11-2023,Ein Frankfurt,1 - 2,Stuttgart
02-12-2023,Stuttgart,2 - 0,Werder Bremen
10-12-2023,Stuttgart,1 - 1,Leverkusen
17-12-2023,Bayern Munich,3 - 0,Stuttgart
20-12-2023,Stuttgart,3 - 0,Augsburg
14-01-2024,M''gladbach,3 - 1,Stuttgart
20-01-2024,Bochum,1 - 0,Stuttgart
27-01-2024,Stuttgart,5 - 2,RB Leipzig
03-02-2024,Freiburg,1 - 3,Stuttgart
11-02-2024,Stuttgart,3 - 1,Mainz
17-02-2024,Darmstadt,? - ?,Stuttgart
20-08-2023,Union Berlin,4 - 1,Mainz
26-08-2023,Darmstadt,1 - 4,Union Berlin
03-09-2023,Union Berlin,0 - 3,RB Leipzig
16-09-2023,Wolfsburg,2 - 1,Union Berlin
23-09-2023,Union Berlin,0 - 2,Hoffenheim
30-09-2023,Heidenheim,1 - 0,Union Berlin
07-10-2023,Dortmund,4 - 2,Union Berlin
21-10-2023,Union Berlin,0 - 3,Stuttgart
28-10-2023,Werder Bremen,2 - 0,Union Berlin
04-11-2023,Union Berlin,0 - 3,Ein Frankfurt
12-11-2023,Leverkusen,4 - 0,Union Berlin
25-11-2023,Union Berlin,1 - 1,Augsburg
09-12-2023,Union Berlin,3 - 1,M''gladbach
16-12-2023,Bochum,3 - 0,Union Berlin
20-12-2023,Union Berlin,2 - 0,FC Koln
13-01-2024,Freiburg,0 - 0,Union Berlin
24-01-2024,Bayern Munich,1 - 0,Union Berlin
28-01-2024,Union Berlin,1 - 0,Darmstadt
04-02-2024,RB Leipzig,2 - 0,Union Berlin
07-02-2024,Mainz,1 - 1,Union Berlin
10-02-2024,Union Berlin,1 - 0,Wolfsburg
17-02-2024,Hoffenheim,? - ?,Union Berlin
18-08-2023,Werder Bremen,0 - 4,Bayern Munich
26-08-2023,Freiburg,1 - 0,Werder Bremen
02-09-2023,Werder Bremen,4 - 0,Mainz
17-09-2023,Heidenheim,4 - 2,Werder Bremen
23-09-2023,Werder Bremen,2 - 1,FC Koln
01-10-2023,Darmstadt,4 - 2,Werder Bremen
07-10-2023,Werder Bremen,2 - 3,Hoffenheim
20-10-2023,Dortmund,1 - 0,Werder Bremen
28-10-2023,Werder Bremen,2 - 0,Union Berlin
05-11-2023,Wolfsburg,2 - 2,Werder Bremen
12-11-2023,Werder Bremen,2 - 2,Ein Frankfurt
25-11-2023,Werder Bremen,0 - 3,Leverkusen
02-12-2023,Stuttgart,2 - 0,Werder Bremen
09-12-2023,Werder Bremen,2 - 0,Augsburg
15-12-2023,M''gladbach,2 - 2,Werder Bremen
19-12-2023,Werder Bremen,1 - 1,RB Leipzig
14-01-2024,Bochum,1 - 1,Werder Bremen
21-01-2024,Bayern Munich,0 - 1,Werder Bremen
27-01-2024,Werder Bremen,3 - 1,Freiburg
03-02-2024,Mainz,0 - 1,Werder Bremen
10-02-2024,Werder Bremen,1 - 2,Heidenheim
16-02-2024,FC Koln,? - ?,Werder Bremen
19-08-2023,Wolfsburg,2 - 0,Heidenheim
26-08-2023,FC Koln,1 - 2,Wolfsburg
02-09-2023,Hoffenheim,3 - 1,Wolfsburg
16-09-2023,Wolfsburg,2 - 1,Union Berlin
23-09-2023,Dortmund,1 - 0,Wolfsburg
30-09-2023,Wolfsburg,2 - 0,Ein Frankfurt
07-10-2023,Stuttgart,3 - 1,Wolfsburg
21-10-2023,Wolfsburg,1 - 2,Leverkusen
28-10-2023,Augsburg,3 - 2,Wolfsburg
05-11-2023,Wolfsburg,2 - 2,Werder Bremen
10-11-2023,M''gladbach,4 - 0,Wolfsburg
25-11-2023,Wolfsburg,2 - 1,RB Leipzig
02-12-2023,Bochum,3 - 1,Wolfsburg
09-12-2023,Wolfsburg,0 - 1,Freiburg
16-12-2023,Darmstadt,0 - 1,Wolfsburg
20-12-2023,Wolfsburg,1 - 2,Bayern Munich
13-01-2024,Mainz,1 - 1,Wolfsburg
20-01-2024,Heidenheim,1 - 1,Wolfsburg
27-01-2024,Wolfsburg,1 - 1,FC Koln
04-02-2024,Wolfsburg,2 - 2,Hoffenheim
10-02-2024,Union Berlin,1 - 0,Wolfsburg
17-02-2024,Wolfsburg,? - ?,Dortmund
